Product ID,Process temperature [K],Tool wear [min],Target
H29767,308.3,54,0
L47534,308.3,59,0
L47535,308.3,61,0
M15216,308.4,63,0
L47537,308.4,66,0
M15218,308.3,68,0
M15219,308.3,71,0
M15220,308.3,74,0
L47541,308.3,77,0
H29776,308.3,79,0
L47543,308.3,84,0
L47544,308.4,86,0
L47545,308.4,88,0
M15226,308.5,90,0
M15227,308.4,93,0
L47548,308.4,96,0
H29783,308.4,98,0
M15230,308.3,103,0
L47551,308.4,106,0
M15232,308.3,108,0
L47553,308.3,111,0
L47554,308.3,113,0
L47555,308.2,115,0
M15236,308.2,117,0
M15237,308.2,120,0
L47558,308.2,123,0
L47559,308.2,125,0
L47560,308.3,127,1
L47561,308.5,129,0
L47562,308.5,131,0
M15243,308.6,133,0
L47564,308.5,136,0
M15245,308.6,138,0
L47566,308.7,141,0
L47567,308.7,143,0
L47568,308.7,145,0
M15249,308.7,147,0
L47570,308.7,150,0
L47571,308.6,152,0
M15252,308.5,154,0
M15253,308.4,157,0
L47574,308.4,160,0
L47575,308.3,162,0
L47576,308.3,164,0
M15257,308.3,166,0
H29812,308.3,169,0
L47579,308.4,174,0
L47580,308.5,176,0
L47581,308.5,178,0
L47582,308.6,180,0
L47583,308.6,182,0
L47584,308.6,184,0
L47585,308.5,186,0
L47586,308.6,188,0
M15267,308.5,190,0
M15268,308.6,193,0
L47589,308.6,196,0
M15270,308.6,198,0
L47591,308.7,201,0
L47592,308.6,203,0
L47593,308.4,205,0
L47594,308.4,207,0
L47595,308.4,209,0
L47596,308.5,211,0
L47597,308.4,213,0
L47598,308.4,0,0
M15279,308.3,2,0
M15280,308.3,5,0
M15281,308.3,8,0
L47602,308.3,11,0
L47603,308.3,13,0
L47604,308.4,15,0
M15285,308.4,17,0
L47606,308.5,20,0
M15287,308.5,22,0
M15288,308.6,25,0
L47609,308.6,28,0
L47610,308.6,30,0
L47611,308.5,32,0
M15292,308.5,34,0
M15293,308.5,37,0
M15294,308.5,40,0
L47615,308.3,43,0
L47616,308.3,45,0
L47617,308.3,47,0
L47618,308.4,49,0
M15299,308.3,51,0
L47620,308.5,54,0
H29855,308.5,56,0
L47622,308.5,61,1
H29857,308.5,63,0
L47624,308.4,68,0
L47625,308.6,70,0
L47626,308.6,72,0
M15307,308.7,74,0
L47628,308.6,77,0
L47629,308.7,79,0
M15310,308.7,81,0
H29865,308.6,84,0
M15312,308.6,89,0
L47633,308.7,92,0
L47634,308.7,94,0
L47635,308.7,96,0
H29870,308.7,98,0
L47637,308.6,103,0
L47638,308.6,105,0
L47639,308.6,107,0
H29874,308.6,109,0
L47641,308.7,114,0
L47642,308.7,116,0
L47643,308.7,118,1
L47644,308.6,120,0
M15325,308.6,122,0
L47646,308.5,125,0
L47647,308.5,127,0
L47648,308.7,129,0
M15329,308.8,131,0
H29884,308.8,134,0
H29885,308.8,139,0
M15332,309.0,144,0
M15333,309.0,147,0
L47654,309.1,150,0
L47655,309.1,152,0
L47656,309.0,154,0
H29891,309.0,156,0
L47658,309.0,161,0
M15339,308.9,163,0
L47660,309.0,166,0
M15341,309.0,168,0
L47662,309.0,171,0
L47663,309.0,173,0
L47664,309.0,175,0
M15345,309.0,177,0
M15346,309.1,180,0
M15347,309.1,183,0
L47668,309.2,186,0
M15349,309.2,188,0
L47670,309.2,191,0
L47671,309.2,193,0
L47672,309.3,195,0
L47673,309.3,197,0
L47674,309.4,199,0
H29909,309.3,201,0
M15356,309.2,206,0
L47677,309.0,209,0
L47678,309.1,211,0
L47679,309.1,213,0
M15360,309.2,215,0
M15361,309.3,218,0
L47682,309.2,221,0
M15363,309.2,0,0
M15364,309.3,3,0
L47685,309.3,6,0
L47686,309.3,8,0
H29921,309.4,10,0
L47688,309.3,15,0
M15369,309.3,17,0
L47690,309.3,20,0
L47691,309.3,22,0
L47692,309.2,24,0
L47693,309.2,26,0
L47694,309.2,28,0
L47695,309.2,30,0
L47696,309.3,32,0
M15377,309.4,34,0
L47698,309.5,37,0
M15379,309.5,39,0
L47700,309.5,42,0
L47701,309.4,44,0
M15382,309.5,46,0
L47703,309.4,49,0
L47704,309.4,51,0
L47705,309.4,53,0
L47706,309.5,55,0
M15387,309.6,57,0
M15388,309.5,60,0
L47709,309.5,63,0
M15390,309.5,65,0
L47711,309.5,68,0
L47712,309.4,70,0
L47713,309.3,72,0
L47714,309.3,74,0
H29949,309.3,76,0
L47716,309.3,81,0
H29951,309.3,83,0
M15398,309.3,88,0
M15399,309.3,91,0
L47720,309.4,94,0
L47721,309.4,96,0
L47722,309.4,98,0
H29957,309.3,100,0
M15404,309.4,105,0
L47725,309.4,108,0
L47726,309.4,110,0
M15407,309.4,112,0
L47728,309.3,115,0
L47729,309.2,117,0
L47730,309.2,119,0
L47731,309.2,121,0
M15412,309.3,123,0
M15413,309.3,126,0
H29968,309.4,129,0
M15415,309.4,134,0
L47736,309.4,137,0
M15417,309.4,139,0
L47738,309.4,142,0
L47739,309.4,144,0
L47740,309.4,146,0
M15421,309.4,148,0
L47742,309.5,151,0
L47743,309.6,153,0
H29978,309.6,155,0
H29979,309.7,160,0
M15426,309.7,165,0
M15427,309.7,168,0
L47748,309.7,171,0
M15429,309.6,173,0
L47750,309.7,176,0
M15431,309.8,178,0
L47752,309.9,181,0
L47753,309.9,183,0
M15434,310.0,185,0
M15435,309.9,188,0
H29990,309.7,191,0
L47757,309.7,196,0
L47758,309.8,198,0
M15439,309.7,200,0
M15440,309.8,203,0
L47761,309.7,206,0
L47762,309.7,208,0
H29997,309.6,210,0
H29998,309.6,215,0
L47765,309.5,220,0
L47766,309.6,222,1
H30001,309.5,224,0
L47768,309.4,229,0
L47769,309.4,231,0
L47770,309.4,233,0
H30005,309.3,235,0
H30006,309.5,240,0
L47773,309.6,0,0
H30008,309.6,2,0
M15455,309.6,7,0
M15456,309.6,10,0
H30011,309.6,13,0
L47778,309.6,18,0
H30013,309.7,20,0
L47780,309.7,25,0
L47781,309.7,27,0
L47782,309.8,29,0
L47783,309.8,31,1
L47784,309.9,33,0
M15465,309.8,35,0
L47786,309.8,38,0
M15467,309.9,40,0
L47788,309.9,43,0
L47789,309.9,45,0
L47790,310.0,47,0
L47791,310.0,49,0
L47792,309.9,51,0
L47793,309.9,53,0
M15474,309.9,55,0
L47795,309.9,58,0
H30030,309.9,60,0
M15477,310.0,65,0
H30032,310.0,68,0
L47799,310.0,73,0
M15480,310.1,75,0
L47801,310.1,78,0
M15482,310.2,80,0
L47803,310.1,83,0
H30038,310.1,85,0
L47805,310.1,90,0
L47806,310.1,92,0
L47807,310.1,94,0
M15488,310.1,96,0
L47809,310.1,99,0
L47810,310.0,101,0
L47811,310.0,103,0
H30046,310.0,105,0
L47813,310.0,110,0
L47814,309.9,112,0
L47815,310.0,114,0
L47816,309.9,116,0
L47817,309.7,118,0
L47818,309.6,120,0
L47819,309.6,122,0
M15500,309.6,124,0
L47821,309.5,127,0
M15502,309.4,129,0
M15503,309.4,132,0
H30058,309.4,135,0
L47825,309.4,140,0
M15506,309.4,142,0
L47827,309.3,145,0
H30062,309.3,147,0
M15509,309.2,152,0
L47830,309.2,155,0
L47831,309.1,157,0
L47832,309.2,159,0
L47833,309.3,161,0
L47834,309.2,163,0
L47835,309.1,165,0
M15516,309.1,167,0
L47837,309.2,170,0
L47838,309.1,172,0
L47839,309.1,174,0
M15520,309.2,176,0
M15521,309.0,179,0
M15522,308.9,182,0
L47843,308.9,185,0
L47844,308.9,187,0
L47845,308.9,189,0
L47846,309.0,191,0
L47847,308.9,193,0
L47848,308.9,195,0
H30083,308.9,197,0
L47850,309.0,202,0
L47851,308.9,204,0
M15532,308.9,206,0
L47853,308.9,209,0
L47854,309.0,0,0
M15535,309.1,2,0
H30090,309.2,5,0
L47857,309.2,10,0
M15538,309.2,12,0
L47859,309.2,15,0
M15540,309.1,17,0
M15541,309.0,20,0
H30096,309.0,23,0
L47863,309.0,28,0
L47864,309.0,30,0
M15545,309.0,32,0
M15546,309.0,35,0
M15547,309.0,38,0
H30102,309.0,41,0
H30103,309.0,46,0
H30104,309.0,51,0
L47871,309.1,56,0
L47872,309.1,58,0
L47873,309.1,60,0
L47874,309.1,62,0
L47875,309.0,64,0
M15556,309.0,66,0
M15557,308.8,69,0
L47878,308.8,72,0
H30113,308.7,74,0
M15560,308.8,79,0
L47881,308.8,82,0
M15562,308.9,84,0
H30117,308.9,87,0
L47884,308.9,92,0
L47885,309.0,94,0
M15566,309.0,96,0
L47887,308.9,99,0
M15568,308.8,101,0
M15569,308.8,104,0
M15570,308.7,107,0
L47891,308.7,110,0
L47892,308.7,112,0
L47893,308.6,114,0
L47894,308.6,116,0
L47895,308.6,118,0
H30130,308.6,120,0
L47897,308.7,125,0
L47898,308.8,127,0
L47899,308.8,129,0
L47900,308.9,131,0
L47901,308.9,133,0
L47902,308.9,135,0
M15583,308.9,137,0
L47904,308.9,140,0
L47905,308.8,142,0
M15586,308.8,144,0
H30141,308.6,147,0
M15588,308.7,152,0
L47909,308.6,155,0
M15590,308.6,157,0
M15591,308.6,160,0
L47912,308.6,163,0
M15593,308.4,165,0
H30148,308.4,168,0
L47915,308.4,173,0
L47916,308.3,175,0
H30151,308.3,177,0
L47918,308.3,182,0
L47919,308.4,184,0
M15600,308.4,186,0
L47921,308.3,189,0
L47922,308.2,191,0
L47923,308.2,193,0
L47924,308.1,195,0
L47925,308.0,197,0
L47926,308.1,199,1
L47927,308.1,201,0
H30162,308.1,203,0
L47929,308.0,208,0
L47930,308.0,210,0
M15611,308.1,212,0
L47932,308.1,215,0
L47933,308.0,217,0
M15614,308.1,219,0
H30169,308.1,222,0
L47936,308.0,227,0
L47937,308.1,229,0
L47938,308.0,231,0
M15619,307.8,233,0
L47940,307.8,236,0
L47941,307.8,238,0
M15622,307.8,0,0
L47943,307.8,3,0
L47944,307.9,5,0
L47945,308.0,7,0
L47946,308.0,9,0
L47947,308.0,11,0
L47948,308.0,13,0
L47949,308.0,15,0
L47950,308.0,17,0
H30185,308.0,19,0
H30186,308.0,24,0
L47953,308.0,29,0
L47954,307.9,31,0
L47955,307.8,33,0
L47956,307.8,35,0
L47957,307.8,37,0
L47958,308.0,39,0
L47959,308.0,41,0
M15640,308.0,43,0
L47961,308.0,46,0
L47962,307.9,48,0
H30197,307.9,50,0
L47964,307.9,55,0
M15645,308.0,57,0
L47966,308.1,60,0
L47967,308.1,62,0
M15648,308.1,64,0
M15649,308.0,67,0
L47970,307.9,70,0
L47971,307.9,72,0
L47972,307.8,74,0
M15653,307.9,76,0
H30208,307.9,79,0
L47975,307.8,84,0
M15656,307.9,86,0
L47977,307.7,89,0
M15658,307.8,91,0
M15659,307.8,94,0
M15660,307.9,97,0
L47981,307.8,100,0
L47982,307.8,102,0
H30217,307.8,104,0
M15664,307.8,109,0
M15665,307.9,112,0
M15666,307.9,115,0
L47987,307.7,118,0
L47988,307.7,120,0
L47989,307.6,122,0
L47990,307.7,124,0
L47991,307.6,126,0
L47992,307.6,128,0
L47993,307.6,130,0
M15674,307.5,132,0
M15675,307.5,135,0
L47996,307.6,138,0
L47997,307.6,140,0
L47998,307.6,142,0
L47999,307.6,144,0
L48000,307.6,146,0
L48001,307.6,148,0
M15682,307.6,150,0
M15683,307.5,153,0
L48004,307.4,156,0
L48005,307.3,158,0
L48006,307.2,160,0
L48007,307.3,162,0
L48008,307.3,164,0
L48009,307.3,166,0
L48010,307.4,168,0
M15691,307.4,170,0
L48012,307.4,173,0
L48013,307.4,175,0
H30248,307.4,177,0
M15695,307.4,182,0
L48016,307.4,185,0
L48017,307.4,187,0
H30252,307.4,189,0
M15699,307.4,194,0
L48020,307.5,197,0
L48021,307.5,199,0
M15702,307.5,201,0
L48023,307.5,204,0
L48024,307.5,206,0
L48025,307.3,208,0
M15706,307.4,210,0
L48027,307.4,213,1
L48028,307.4,215,0
H30263,307.4,0,0
L48030,307.3,5,0
M15711,307.2,7,0
M15712,307.3,10,0
L48033,307.3,13,0
M15714,307.3,15,0
L48035,307.2,18,0
L48036,307.1,20,0
M15717,307.1,22,0
M15718,307.0,25,0
H30273,307.0,28,0
H30274,306.9,33,0
M15721,306.9,38,0
H30276,306.8,41,0
L48043,306.7,46,0
M15724,306.7,48,0
L48045,306.6,51,0
L48046,306.6,53,0
H30281,306.5,55,0
M15728,306.5,60,0
L48049,306.5,63,0
L48050,306.4,65,0
L48051,306.4,67,0
M15732,306.4,69,0
L48053,306.4,72,0
L48054,306.4,74,0
M15735,306.3,76,0
L48056,306.3,79,0
M15737,306.2,81,0
M15738,306.3,84,0
L48059,306.3,87,0
M15740,306.3,89,1
L48061,306.2,92,0
M15742,306.2,94,0
L48063,306.3,97,0
L48064,306.4,99,0
L48065,306.2,101,0
L48066,306.2,103,0
H30301,306.2,105,0
M15748,306.1,110,0
L48069,306.1,113,0
L48070,306.0,115,0
L48071,306.1,117,0
L48072,306.1,119,0
M15753,306.2,121,0
L48074,306.2,124,0
M15755,306.2,126,0
L48076,306.1,129,0
L48077,306.2,131,0
L48078,306.2,133,0
H30313,306.2,135,0
L48080,306.2,140,0
H30315,306.1,142,0
L48082,306.1,147,0
L48083,306.2,149,1
H30318,306.2,151,0
L48085,306.1,156,0
M15766,306.1,158,0
M15767,306.1,161,0
M15768,306.1,164,0
L48089,306.0,167,0
L48090,306.0,169,0
M15771,306.1,171,0
L48092,306.0,174,0
L48093,306.0,176,0
M15774,305.9,178,0
M15775,305.8,181,0
M15776,305.8,184,0
L48097,305.7,187,0
M15778,305.7,189,0
L48099,305.8,192,0
M15780,305.9,194,0
H30335,305.9,197,0
M15782,305.9,202,0
M15783,306.0,205,0
L48104,306.0,208,0
H30339,306.1,210,0
L48106,306.1,215,1
H30341,306.0,0,0
L48108,306.0,5,0
L48109,306.0,7,0
M15790,305.9,9,0
L48111,305.9,12,0
L48112,306.0,14,0
L48113,306.0,16,0
M15794,306.0,18,0
M15795,306.0,21,0
M15796,306.1,24,0
L48117,306.2,27,0
L48118,306.2,29,0
L48119,306.1,31,0
L48120,306.2,33,0
L48121,306.2,35,0
M15802,306.3,37,0
M15803,306.2,40,0
M15804,306.3,43,0
M15805,306.3,46,0
L48126,306.2,49,0
L48127,306.2,51,0
M15808,306.3,53,0
L48129,306.3,56,0
L48130,306.2,58,0
H30365,306.3,60,0
L48132,306.2,65,0
L48133,306.1,67,0
H30368,306.2,69,0
L48135,306.3,74,0
H30370,306.2,76,0
M15817,306.4,81,0
L48138,306.4,84,0
L48139,306.5,86,0
L48140,306.5,88,0
L48141,306.5,90,0
M15822,306.6,92,0
L48143,306.6,95,0
L48144,306.5,97,0
L48145,306.6,99,0
M15826,306.5,101,0
M15827,306.6,104,0
L48148,306.7,107,0
L48149,306.6,109,0
L48150,306.5,111,0
L48151,306.6,113,0
L48152,306.6,115,0
L48153,306.6,117,0
L48154,306.6,119,0
M15835,306.6,121,0
M15836,306.6,124,0
L48157,306.7,127,0
M15838,306.8,129,0
L48159,306.8,132,0
L48160,306.7,134,0
L48161,306.8,136,0
L48162,306.9,138,0
L48163,306.9,140,0
L48164,307.1,142,0
L48165,307.2,144,0
H30400,307.1,146,0
M15847,307.1,151,0
H30402,307.1,154,0
M15849,307.0,159,0
L48170,307.0,162,0
M15851,307.0,164,0
L48172,307.1,167,0
M15853,307.1,169,0
M15854,307.2,172,0
L48175,307.3,175,0
M15856,307.2,177,0
M15857,307.2,180,0
M15858,307.2,183,0
L48179,307.1,186,0
L48180,307.1,188,0
L48181,307.1,190,0
L48182,307.2,192,0
L48183,307.1,194,0
H30418,307.2,196,0
L48185,307.2,201,0
L48186,307.1,203,0
M15867,307.2,0,0
L48188,307.1,3,0
M15869,307.2,5,0
M15870,307.2,8,0
M15871,307.3,11,0
M15872,307.1,14,0
M15873,307.2,17,0
L48194,307.2,20,0
L48195,307.2,22,0
M15876,307.2,24,1
L48197,307.2,27,0
L48198,307.2,29,0
L48199,307.3,31,0
L48200,307.3,33,0
M15881,307.2,35,0
L48202,307.2,38,0
L48203,307.3,40,0
L48204,307.3,42,0
L48205,307.3,44,0
L48206,307.4,46,0
M15887,307.4,48,0
L48208,307.4,51,0
M15889,307.3,53,0
L48210,307.4,56,0
L48211,307.5,58,0
L48212,307.4,60,0
H30447,307.5,62,0
M15894,307.4,67,0
L48215,307.4,70,0
M15896,307.5,72,0
H30451,307.5,75,0
L48218,307.6,80,0
L48219,307.7,82,0
L48220,307.7,84,0
L48221,307.6,86,0
L48222,307.6,88,0
L48223,307.6,90,0
L48224,307.6,92,0
H30459,307.5,94,0
L48226,307.5,99,0
M15907,307.7,101,0
L48228,307.6,104,0
L48229,307.6,106,0
L48230,307.6,108,0
L48231,307.7,110,0
L48232,307.7,112,0
M15913,307.7,114,0
H30468,307.8,117,0
L48235,307.8,122,0
L48236,307.8,124,0
L48237,307.8,126,0
L48238,307.8,128,0
M15919,307.9,130,0
H30474,307.9,133,0
L48241,307.9,138,0
L48242,307.9,140,0
M15923,307.8,142,0
M15924,307.9,145,0
L48245,307.9,148,0
M15926,307.8,150,0
L48247,307.8,153,0
L48248,307.8,155,0
M15929,307.8,157,0
M15930,307.8,160,0
L48251,307.8,163,0
M15932,307.9,165,0
L48253,307.8,168,0
L48254,307.9,170,0
H30489,307.8,172,0
L48256,307.7,177,0
L48257,307.6,179,0
H30492,307.7,181,0
L48259,307.7,186,0
L48260,307.8,188,0
L48261,307.8,190,0
H30496,307.9,192,0
L48263,307.8,197,0
M15944,307.7,199,0
L48265,307.8,202,1
L48266,307.9,204,0
H30501,307.8,206,1
M15948,307.8,0,0
M15949,307.7,3,0
L48270,307.7,6,0
L48271,307.7,8,0
M15952,307.6,10,0
M15953,307.5,13,0
L48274,307.5,16,0
L48275,307.5,18,1
L48276,307.6,20,0
H30511,307.5,22,0
M15958,307.4,27,0
M15959,307.4,30,0
H30514,307.5,33,0
H30515,307.5,38,0
L48282,307.5,43,0
M15963,307.4,45,0
L48284,307.4,48,0
M15965,307.5,50,0
L48286,307.6,53,0
M15967,307.5,55,0
L48288,307.4,58,0
L48289,307.5,60,0
L48290,307.4,62,0
H30525,307.4,64,0
M15972,307.4,69,0
M15973,307.4,72,0
H30528,307.3,75,0
M15975,307.3,80,0
L48296,307.3,83,0
L48297,307.4,85,0
L48298,307.5,87,0
L48299,307.5,89,0
H30534,307.7,91,0
L48301,307.6,96,0
L48302,307.6,98,0
H30537,307.7,100,1
M15984,307.8,105,1
M15985,307.8,108,0
L48306,307.9,111,0
M15987,307.8,113,0
M15988,307.9,116,0
L48309,307.9,119,0
L48310,307.9,121,0
L48311,307.9,123,0
L48312,307.9,125,0
M15993,307.9,127,0
M15994,307.8,130,0
L48315,307.9,133,0
L48316,307.8,135,0
L48317,307.8,137,0
L48318,307.9,139,0
M15999,307.9,141,0
M16000,307.9,144,0
L48321,307.9,147,0
L48322,307.9,149,0
L48323,307.9,151,0
L48324,307.9,153,1
L48325,307.8,155,0
L48326,307.9,157,0
M16007,308.0,159,0
L48328,308.0,162,0
L48329,308.1,164,0
L48330,307.9,166,0
L48331,307.9,168,0
L48332,307.9,170,0
H30567,307.9,172,0
L48334,307.9,177,0
H30569,307.9,179,0
H30570,307.8,184,0
L48337,307.8,189,0
L48338,307.9,191,0
L48339,307.8,193,0
H30574,307.7,195,0
L48341,307.8,200,1
